Price,Close,High,Low,Open,Volume
Ticker,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS
Date,,,,,
2024-06-20,2472.355224609375,2480.1243374333917,2436.946171880227,2447.255219708371,2163310
2024-06-21,2431.617431640625,2468.1718244743647,2416.9259326854203,2465.18372299195,3646215
2024-06-24,2432.513916015625,2458.0623311816894,2417.4240998604137,2425.342520646538,1945519
2024-06-25,2422.553466796875,2436.9959575352,2418.2704726331135,2429.6752546850303,833789
2024-06-26,2435.900390625,2457.2154169567516,2422.752549754017,2427.334402563277,1738656
2024-06-27,2452.384521484375,2473.351081592451,2426.3383349036576,2440.2329577683354,3402726
2024-06-28,2463.241455078125,2480.6221963761104,2453.0819588810136,2453.23126668314,2129791
2024-07-01,2495.16455078125,2512.9934598265845,2440.382687804452,2451.28921007173,3312865
2024-07-02,2475.29345703125,2505.025165106717,2469.516655164494,2505.025165106717,1305210
2024-07-03,2500.3935546875,2509.8558758162176,2464.486487454061,2476.7873590180047,1406405
2024-07-04,2486.050537109375,2526.7884658036555,2483.0125853572536,2505.074880131505,1977010
2024-07-05,2536.898193359375,2543.8704302472884,2486.050617135198,2486.050617135198,1754286
2024-07-08,2576.888916015625,2584.707879123138,2526.1908895668817,2549.846693855581,2818809
2024-07-09,2579.876953125,2603.6324574753326,2557.814900840342,2576.8888516053266,1479529
2024-07-10,2600.096435546875,2615.5848100749663,2562.7950176400946,2570.763288196302,1764036
2024-07-11,2598.5029296875,2606.6703583805297,2579.777445229026,2606.620508055045,1432671
2024-07-12,2611.849853515625,2629.031438022497,2590.684133470928,2590.684133470928,1912642
2024-07-15,2609.907470703125,2618.8219247696934,2603.2836998877933,2617.576882493013,920101
2024-07-16,2677.787109375,2714.192194601272,2614.14064472282,2615.534994819925,3298003
2024-07-18,2727.5390625,2740.2883447179615,2644.4699347014744,2689.291459018448,5569762
2024-07-19,2716.184326171875,2732.12086787292,2705.1781034251253,2728.1367324476587,1668862
2024-07-22,2724.451416015625,2739.0432145285595,2694.9188667038834,2694.9687170304364,1911629
2024-07-23,2755.37841796875,2800.1500921876664,2721.1645569620255,2735.1090312656374,3906259
2024-07-24,2706.27392578125,2746.513597613631,2664.4903527869997,2737.1011260003897,3611927
2024-07-25,2696.462890625,2714.0430346363837,2659.4104786579405,2706.2739216822415,2166670
2024-07-26,2700.297607421875,2716.184298634576,2676.591953247438,2713.1961970959237,2135309
2024-07-29,2700.845458984375,2709.212045975074,2682.1199741497885,2700.446899544808,957011
2024-07-30,2680.725341796875,2743.425865676038,2674.749138841389,2704.8295549218583,1560399
2024-07-31,2694.9189453125,2698.903080795776,2664.4404547688378,2694.2716205654,1751085
2024-08-01,2704.77978515625,2714.1424061297757,2684.5103989262543,2703.2358840456345,1886392
2024-08-02,2681.87109375,2748.5555139166636,2670.5161615234783,2701.2439042369965,1738872
2024-08-05,2705.128173828125,2731.1247539850956,2655.6253412543256,2665.3366710688238,3118731
2024-08-06,2739.142822265625,2760.756707264294,2697.906876711927,2709.3116583511332,2296031
2024-08-07,2733.166748046875,2770.816876394826,2724.650609953407,2770.667325413201,1713875
2024-08-08,2722.359619140625,2748.3063490810828,2709.610337465212,2743.077171466631,1464161
2024-08-09,2736.30419921875,2747.0614136499603,2707.8177764381794,2745.0693459098225,1284031
2024-08-12,2737.798095703125,2752.4397441333695,2711.6023577624155,2727.1405825285838,1297178
