Price,Close,High,Low,Open,Volume
Ticker,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS
Date,,,,,
2024-06-18,1391.4404296875,1393.9092866021117,1381.6136937020458,1385.4863362763874,2223029
2024-06-19,1399.815185546875,1405.6726053109674,1384.7603569150826,1394.1999241520298,3117522
2024-06-20,1397.491455078125,1402.8163386992644,1384.0341164734573,1402.8163386992644,3163919
2024-06-21,1401.7513427734375,1434.7655965788326,1393.376729697571,1415.450839307712,6489262
2024-06-24,1394.974365234375,1397.9756398628988,1381.1780748214844,1392.0698830421875,1988692
2024-06-25,1401.8482666015625,1403.9298357853352,1381.0328111311987,1395.0711415647,2079037
2024-06-26,1397.7335205078125,1407.02795754329,1392.4086367904217,1401.8482033803418,1917424
2024-06-27,1408.576904296875,1414.0470354157242,1378.1766373082073,1389.3104843956992,6613193
2024-06-28,1413.12744140625,1421.9376808086267,1396.0878354288766,1421.2600155406317,4943575
2024-07-01,1422.082763671875,1431.5223301192718,1408.67376215,1418.3553687627148,3723295
2024-07-02,1433.65234375,1444.9313208224235,1426.100643375155,1428.0369646832,3811366
2024-07-03,1433.845947265625,1441.5912325985926,1424.3579254592696,1441.5912325985926,2070876
2024-07-04,1473.87939453125,1485.6910257933134,1437.7186165989808,1437.7186165989808,6822557
2024-07-05,1471.0233154296875,1480.559674196639,1457.6143140622544,1474.5086701333864,3061687
2024-07-08,1484.57763671875,1490.967473683515,1458.243594844782,1479.34954531715,2939620
2024-07-09,1482.350830078125,1497.0669436873504,1476.4450734211764,1484.5776469705272,2658608
2024-07-10,1461.8741455078125,1483.8030081567638,1440.4778184968661,1482.3507671625773,3507096
2024-07-11,1463.76220703125,1485.1585351724216,1460.034811919346,1466.7634816077045,3304053
2024-07-12,1510.524169921875,1516.1395488577796,1462.4066338120538,1481.2857661254168,6430647
2024-07-15,1519.6248779296875,1584.2980542963232,1517.4949718497871,1529.69377196416,10337489
2024-07-16,1519.5765380859375,1532.5982510631327,1505.4897538870318,1515.1713600213536,3540650
2024-07-18,1543.7806396484375,1548.3309475122553,1507.42615931004,1508.4427752843935,4399468
2024-07-19,1543.7806396484375,1564.9832637199238,1538.0200127665594,1559.222755021721,5633838
2024-07-22,1526.8861083984375,1543.7321270243367,1520.8835597562265,1538.0199556613914,2704495
2024-07-23,1559.3243408203125,1561.7145925809978,1513.2280063321475,1535.5688991401428,2907674
2024-07-24,1545.031982421875,1558.9828780907792,1538.3492573569085,1555.0805429766597,2484299
2024-07-25,1548.8367919921875,1555.0805520290885,1524.6910933330157,1531.6665412080733,2934731
2024-07-26,1595.4208984375,1599.957386797297,1555.0805332651778,1563.665718098553,2814159
2024-07-29,1592.494140625,1604.835299113961,1580.4457049025027,1600.1524493894349,1639491
2024-07-30,1590.4453125,1593.1281676506671,1578.4944122833922,1589.2258328860605,1783877
2024-07-31,1602.493896484375,1604.8353213791227,1579.6652121677664,1581.4213106112813,1984986
2024-08-01,1600.4940185546875,1615.0789484355907,1596.1525992780619,1600.0062266644925,1785188
2024-08-02,1570.007080078125,1598.981871728553,1562.056048173164,1580.494606082446,1692851
2024-08-05,1524.2520751953125,1556.7389426244672,1499.4722241212153,1536.544406630393,3279717
2024-08-06,1544.105224609375,1565.8119636695922,1524.8374449941261,1524.8374449941261,2138704
2024-08-07,1555.665771484375,1575.5677031313646,1551.1781102036346,1565.8118659602726,1897787
2024-08-08,1519.813232421875,1562.8852819566857,1516.593877264996,1558.0073628494551,2373805
2024-08-09,1551.12939453125,1562.885226800728,1537.3736869522784,1546.2027678607064,2021762
2024-08-12,1546.544189453125,1561.421842119367,1535.4225105272824,1551.1782124147414,1273739
2024-08-13,1553.7635498046875,1569.1289945253045,1539.1297929279092,1539.4712234370704,1973825
