Price,Close,High,Low,Open,Volume
Ticker,BIOCON.NS,BIOCON.NS,BIOCON.NS,BIOCON.NS,BIOCON.NS
Date,,,,,
2024-06-18,327.8955993652344,332.08976865954554,326.04815350299685,329.54330981926176,6208267
2024-06-19,331.7901916503906,338.73058557708276,327.3463379167037,329.543305476686,7310198
2024-06-20,342.3255920410156,343.8235162135557,331.5405501888654,331.79020421762203,8166456
2024-06-21,345.2215881347656,350.51424112399314,339.6293320388582,345.02185273031233,9300900
2024-06-24,341.7264404296875,344.921993653442,336.53362453748747,344.921993653442,4460873
2024-06-25,338.780517578125,345.07178692296753,335.83458784382924,343.5239441322771,3221011
2024-06-26,351.66265869140625,353.4601859830472,336.0343225916483,337.63211447021405,7782868
2024-06-27,345.67095947265625,353.2105293685417,341.5267087221206,353.1106616627352,4933878
2024-06-28,350.6141052246094,354.4088340674889,345.8706789333382,347.3686030253186,5816457
2024-07-01,357.155029296875,358.9026074093758,347.76804438765384,352.1120303623674,9143802
2024-07-02,356.20635986328125,361.3991450765342,354.0093923468727,359.30204526093394,7001966
2024-07-03,360.9497985839844,365.3936219074444,356.056555353716,356.6557311038861,6614689
2024-07-04,360.79998779296875,366.64189812247224,355.20776196592294,362.4477287521879,4658012
2024-07-05,370.20001220703125,371.3999938964844,360.1000061035156,361.0,7658844
2024-07-08,366.6499938964844,373.8500061035156,365.3999938964844,371.0,5022489
2024-07-09,363.0,369.3999938964844,361.04998779296875,369.29998779296875,2059302
2024-07-10,357.75,366.5,350.70001220703125,366.5,4383222
2024-07-11,354.54998779296875,359.8999938964844,351.5,359.8999938964844,3175235
2024-07-12,350.75,356.0,349.1000061035156,355.0,4058531
2024-07-15,359.1499938964844,361.5,350.75,352.0,4074238
2024-07-16,353.3999938964844,360.5,352.45001220703125,359.0,2060110
2024-07-18,343.20001220703125,353.3999938964844,340.95001220703125,353.3999938964844,3890681
2024-07-19,335.20001220703125,344.20001220703125,334.04998779296875,343.29998779296875,3570488
2024-07-22,335.3500061035156,339.3999938964844,330.0,332.6499938964844,2886436
2024-07-23,337.04998779296875,338.54998779296875,320.3999938964844,338.3500061035156,3807462
2024-07-24,348.0,349.1000061035156,336.20001220703125,337.70001220703125,3384480
2024-07-25,361.8500061035156,363.8999938964844,342.3500061035156,346.1000061035156,6420578
2024-07-26,368.5,376.79998779296875,363.3500061035156,366.0,9109767
2024-07-29,361.8500061035156,370.79998779296875,359.79998779296875,370.79998779296875,4052190
2024-07-30,359.45001220703125,364.54998779296875,358.3999938964844,361.8999938964844,1660024
2024-07-31,362.3500061035156,366.79998779296875,360.3999938964844,360.54998779296875,2699613
2024-08-01,354.75,370.45001220703125,353.5,362.5,4177876
2024-08-02,356.1000061035156,362.70001220703125,348.04998779296875,350.1499938964844,3828727
2024-08-05,340.3999938964844,352.8500061035156,333.70001220703125,344.04998779296875,5620180
2024-08-06,334.5,349.3999938964844,332.25,341.3999938964844,2981838
2024-08-07,346.8500061035156,348.04998779296875,335.29998779296875,342.0,3645534
2024-08-08,339.1499938964844,349.54998779296875,336.8500061035156,346.8999938964844,4003614
2024-08-09,336.95001220703125,345.0,332.6499938964844,339.1499938964844,10005232
2024-08-12,337.8500061035156,342.0,330.25,330.25,4281522
2024-08-13,337.1000061035156,342.0,334.04998779296875,338.0,3360380
2024-08-14,327.6499938964844,338.0,323.3500061035156,337.6000061035156,3713151
2024-08-16,340.95001220703125,342.0,328.1000061035156,330.0,3040369
2024-08-19,344.79998779296875,347.3999938964844,340.6499938964844,342.0,3453510
2024-08-20,346.75,350.8999938964844,343.29998779296875,346.5,4296486
2024-08-21,355.0,356.45001220703125,345.54998779296875,346.6499938964844,3548478
2024-08-22,356.5,359.04998779296875,353.70001220703125,357.3999938964844,2368633
2024-08-23,351.6000061035156,358.0,350.8500061035156,358.0,1312131
2024-08-26,353.25,355.75,352.0,352.0,1350106
2024-08-27,352.75,356.25,351.8500061035156,353.5,1158652
2024-08-28,356.70001220703125,363.75,353.75,355.0,6636720
2024-08-29,355.45001220703125,364.95001220703125,350.04998779296875,364.0,5275221
2024-08-30,359.1000061035156,362.95001220703125,355.54998779296875,355.54998779296875,2738006
