Price,Close,High,Low,Open,Volume
Ticker,ONGC.NS,ONGC.NS,ONGC.NS,ONGC.NS,ONGC.NS
Date,,,,,
2024-06-18,261.9088439941406,264.94768204709885,260.19951570216875,264.9002119758525,17044769
2024-06-19,257.8729248046875,262.66859061429454,257.44560718515476,262.00383567656365,13361607
2024-06-20,258.1578063964844,260.19951210044115,255.54631494292155,258.1103073453881,12826509
2024-06-21,256.068603515625,260.91173895196306,255.3563785685314,257.77796077695405,17406416
2024-06-24,256.3059997558594,257.58801039632937,253.1722217284935,256.0685914513466,7282347
2024-06-25,253.55209350585938,257.1606884878966,251.65282688783796,256.49596255989434,14425434
2024-06-26,254.2643280029297,255.593808889196,250.79817209142868,253.4571338639613,10650910
2024-06-27,254.0269012451172,254.59668700662834,250.22836814238647,253.93193212144737,22830930
2024-06-28,260.38946533203125,261.5765069701596,254.83410466948897,255.45136052521394,19532912
2024-07-01,259.2024230957031,261.90885483998267,257.9204123333815,261.14915978553734,11750972
2024-07-02,261.0067138671875,265.70738123402873,257.82543657012855,259.43982474490707,24470518
2024-07-03,260.8642883300781,263.71318833085576,260.19953340435956,262.09880007154464,9125400
2024-07-04,263.09588623046875,264.8527135785354,259.2973531451387,261.1491496164401,13444669
2024-07-05,273.684326171875,274.72889960800154,262.57360507036515,263.28583003891043,39781962
2024-07-08,284.08282470703125,287.7389190788884,272.8771622228963,275.3936849269889,53136198
2024-07-09,282.46844482421875,286.6468256686308,278.57494238581984,285.6496932865663,18686252
2024-07-10,283.1331787109375,284.70006794900155,274.3016001105691,284.60512779800564,19278800
2024-07-11,289.4007568359375,291.72737008276977,280.28427108700544,284.8899985259434,36020507
2024-07-12,291.6324157714844,296.04820517689814,288.8784847752433,291.3475083701769,31788101
2024-07-15,306.2567443847656,307.34881690197386,293.1043171631476,296.0956563121993,51435537
2024-07-16,306.399169921875,311.099866218259,303.645239224618,307.30133312397135,37468292
2024-07-18,314.9933776855469,316.5127677834716,305.4495456175972,308.72579209982786,48189915
2024-07-19,303.5502624511719,316.41781037209154,302.03084345564724,316.2278721299609,26579496
2024-07-22,304.6423645019531,307.0639469122044,298.65968603993883,303.8826694206055,22234557
2024-07-23,298.3273010253906,305.2121425802397,282.42094295039465,303.9301318049591,37871058
2024-07-24,303.4552917480469,309.34302945731906,296.3805414634207,297.28267565757085,28259305
2024-07-25,318.8868408203125,320.54869904461833,300.1790827692884,302.0308502594961,42054664
2024-07-26,314.8984069824219,321.4508709335627,313.4739570373692,319.5516043401591,25703985
2024-07-29,316.1329345703125,322.44799051478327,314.09122867585336,316.9875987842129,26721790
2024-07-30,315.18328857421875,321.21346586550436,314.32862439462514,315.2782577009533,19792253
2024-07-31,317.3674621582031,320.4537703997935,313.14158235828364,315.3257273678211,21393361
2024-08-01,324.53717041015625,327.3386001522055,320.1688515668368,320.7861073969726,36044960
2024-08-02,313.4739685058594,320.97606602816734,312.09698858306143,320.97606602816734,22939377
2024-08-05,294.6237487792969,307.01645248627034,290.5878070151969,304.21505147361296,37986023
