Symbol,Close,RSI,MACD,Signal,executed
HCLTECH.NS,1729.5999755859375,66.31450063570279,29.766702724832385,Momentum (RSI > 50 & MACD crossover),True
DRREDDY.NS,1318.800048828125,63.45262047505594,38.6736240028697,Momentum (RSI > 50 & MACD crossover),True
ONGC.NS,252.30999755859375,60.79474537899803,2.4346174152047126,Momentum (RSI > 50 & MACD crossover),True
BIOCON.NS,352.6499938964844,60.97438837916238,5.36715267071861,Momentum (RSI > 50 & MACD crossover),True
SCI.NS,215.86000061035156,57.99670862233774,10.28026719063692,Momentum (RSI > 50 & MACD crossover),True
